TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.730.10	-	0.30339394791941	-1.19272315979662	7	1	0.0024330900243309	411	8168	393589	rars2
3.10.180.10	-	0.30339394791941	-1.19272315979662	7	1	0.0024330900243309	411	8168	553804	mcee
3.40.47.10	-	0.30339394791941	-1.19272315979662	7	1	0.0024330900243309	411	8168	394060	hmgcs1
3.30.750.24	-	0.30339394791941	-1.19272315979662	7	1	0.0024330900243309	411	8168	563896	slc26a3.2
1.20.120.550	-	0.30339394791941	-1.19272315979662	7	1	0.0024330900243309	411	8168	723997	mgst2
4.10.530.10	-	0.304512778683898	-1.18904222659156	22	2	0.0048661800486618	411	8168	369191,450053	tnr,angptl7
1.10.472.10	-	0.31276528475866	-1.16230225869931	39	3	0.0072992700729927	411	8168	415165,553650,30222	ccne2,fam58a,ccnd1
3.40.50.1820	-	0.335163119510433	-1.09313794175431	94	6	0.0145985401459854	411	8168	447830,327395,553083,550276,406830,30286	abhd3,ndrg3b,rbbp9,abhd4,zgc:55413,ndrg3a
1.20.1050.20	-	0.338476056418398	-1.08330192349379	8	1	0.0024330900243309	411	8168	565200	stat2
1.20.1540.10	-	0.338476056418398	-1.08330192349379	8	1	0.0024330900243309	411	8168	792002	rhbdl2
3.30.760.10	-	0.338476056418398	-1.08330192349379	8	1	0.0024330900243309	411	8168	447850	eif4e3
3.80.20.20	-	0.338476056418398	-1.08330192349379	8	1	0.0024330900243309	411	8168	386635	erbb3a
3.40.50.1010	-	0.338476056418398	-1.08330192349379	8	1	0.0024330900243309	411	8168	445206	fam120b
2.60.40.630	-	0.338476056418398	-1.08330192349379	8	1	0.0024330900243309	411	8168	565200	stat2
1.10.532.10	-	0.338476056418398	-1.08330192349379	8	1	0.0024330900243309	411	8168	565200	stat2
1.10.1070.11	-	0.338476056418398	-1.08330192349379	8	1	0.0024330900243309	411	8168	324254	mtor
2.10.230.10	-	0.338476056418398	-1.08330192349379	8	1	0.0024330900243309	411	8168	406814	dnaja2
3.40.50.360	-	0.338476056418398	-1.08330192349379	8	1	0.0024330900243309	411	8168	60658	nos1
3.30.70.330	-	0.367031325662239	-1.00230807854229	210	12	0.0291970802919708	411	8168	30967,556409,554886,566247,402952,541556,368925,30732,793165,321872,436655,406594	igf2bp3,g3bp2,ppil4,si:ch211-89o9.4,zgc:77262,rbm39b,srsf3a,elavl3,tia1,srsf4,rbm34,hnrnpabb
3.30.260.10	-	0.371795460931133	-0.98941141213098	9	1	0.0024330900243309	411	8168	394037	cct8
4.10.1110.10	-	0.371795460931133	-0.98941141213098	9	1	0.0024330900243309	411	8168	393489	zfand2a
2.170.15.10	-	0.371795460931133	-0.98941141213098	9	1	0.0024330900243309	411	8168	797049	zgc:172244
3.40.1190.20	-	0.371795460931133	-0.98941141213098	9	1	0.0024330900243309	411	8168	368220	adka
1.10.260.40	-	0.379041328550637	-0.970110033537077	26	2	0.0048661800486618	411	8168	436941,572084	zgc:91944,zgc:158291
3.50.50.60	-	0.382604741423609	-0.960752829413963	44	3	0.0072992700729927	411	8168	557507,557525,751628	aifm2,si:dkey-239i20.2,gpd2
2.60.120.40	-	0.396428131714492	-0.925260511046198	45	3	0.0072992700729927	411	8168	407729,550397,560583	caprin2,c1qtnf4,cbln2b
1.10.533.10	-	0.396428131714492	-0.925260511046198	45	3	0.0072992700729927	411	8168	564874,562867,415100	tnfrsf21,mavs,nfkb2
3.40.20.10	-	0.397183453601407	-0.923357005278502	27	2	0.0048661800486618	411	8168	406774,30112	sec23a,svila
1.20.900.10	-	0.397183453601407	-0.923357005278502	27	2	0.0048661800486618	411	8168	553493,368504	arhgef7a,itsn1
3.10.120.10	-	0.403440523501902	-0.907726203619075	10	1	0.0024330900243309	411	8168	792257	fa2h
3.40.50.970	-	0.403440523501902	-0.907726203619075	10	1	0.0024330900243309	411	8168	564552	ogdha
2.30.40.10	-	0.403440523501902	-0.907726203619075	10	1	0.0024330900243309	411	8168	402981	amdhd2
1.10.100.10	-	0.403440523501902	-0.907726203619075	10	1	0.0024330900243309	411	8168	324215	igf2b
2.130.10.10	-	0.409046014169382	-0.893927625185827	236	13	0.0316301703163017	411	8168	567422,406827,436892,100148281,393596,393594,556743,260439,334682,100007463,751760,450045,559106	plxna3,nedd1,nup37,wdr89,wdr46,bcas3,sema6e,copa,wdr48b,tle3b,llgl1,tssc1,ambra1b
3.40.50.620	-	0.410167858760024	-0.891188791460033	46	3	0.0072992700729927	411	8168	573209,555725,393589	cry1ba,pcyt1bb,rars2
1.10.565.10	-	0.414900069866038	-0.879717583250854	65	4	0.0097323600973236	411	8168	565875,553740,554722,402815	nr1i2,nr3c1,rorab,nr1d2a
3.90.215.10	-	0.415076845047481	-0.879291607103951	28	2	0.0048661800486618	411	8168	450053,369191	angptl7,tnr
4.10.1000.10	-	0.432700589974307	-0.837709268280291	29	2	0.0048661800486618	411	8168	567027,393457	mbnl3,zgpat
3.10.390.10	-	0.433495187007156	-0.835874585459494	11	1	0.0024330900243309	411	8168	563776	deaf1
1.10.560.10	-	0.433495187007156	-0.835874585459494	11	1	0.0024330900243309	411	8168	394037	cct8
3.50.7.10	-	0.433495187007156	-0.835874585459494	11	1	0.0024330900243309	411	8168	394037	cct8
3.20.20.100	-	0.462039195610642	-0.772105552514948	12	1	0.0024330900243309	411	8168	541540	kcnab1a
2.110.10.10	-	0.462039195610642	-0.772105552514948	12	1	0.0024330900243309	411	8168	327588	hpx
3.10.450.50	-	0.462039195610642	-0.772105552514948	12	1	0.0024330900243309	411	8168	556409	g3bp2
3.40.50.150	-	0.46217444937255	-0.771812863127363	108	6	0.0145985401459854	411	8168	553189,447907,492512,100000855,449776,561384	dnmt3ab,lcmt1,ftsj1,fam173a,mettl5,mepce
2.120.10.80	-	0.467068884581726	-0.761278527733294	31	2	0.0048661800486618	411	8168	559380,559966	kbtbd12,kbtbd8
1.10.630.10	-	0.482599272453501	-0.728568633348286	71	4	0.0097323600973236	411	8168	553543,445281,735313,768294	cyp46a1.1,cyp8b1,cyp2k17,cyp2aa2
3.40.630.30	-	0.483784359701646	-0.72611600935348	32	2	0.0048661800486618	411	8168	445229,100002945	naa50,natd1
1.10.1040.10	-	0.489148304314976	-0.715089554679871	13	1	0.0024330900243309	411	8168	751596	cryl1
3.90.550.10	-	0.493596904832797	-0.70603607700868	72	4	0.0097323600973236	411	8168	768123,558716,445097,561018	b4galt1l,galnt11,gmppb,cmasa
3.40.50.300	-	0.494710925772399	-0.703781675339641	647	33	0.0802919708029197	411	8168	100001340,794038,751627,550444,566768,474323,100001531,393609,497648,566719,286784,192339,393653,406462,393993,322089,406411,100005763,403060,406467,436934,394134,393109,100037336,449995,30380,393902,562123,30516,80963,554509,415151,572060	si:dkeyp-69e1.8,brip1,rab43,arl4ca,ino80,rap2c,rab22a,myo1eb,dlg1l,rerglb,arl13b,ddx19,rhogd,orc4,ralaa,ctps1a,rhoaa,uck2a,smc1al,abcf1,rad17,mpp6b,rasl11b,rfc1,atl3,nras,rab7,ddx59,eef1a1l1,rnd3a,orc1,rac2,rab33ba
4.10.740.10	-	0.514894478059451	-0.663793296284593	14	1	0.0024330900243309	411	8168	768176	proza
3.10.200.10	-	0.514894478059451	-0.663793296284593	14	1	0.0024330900243309	411	8168	555196	ca4a
3.90.226.10	-	0.514894478059451	-0.663793296284593	14	1	0.0024330900243309	411	8168	559403	acaca
4.10.410.10	-	0.514894478059451	-0.663793296284593	14	1	0.0024330900243309	411	8168	406426	spint1a
3.90.890.10	-	0.514894478059451	-0.663793296284593	14	1	0.0024330900243309	411	8168	100005140	fbxo40.1
3.40.50.880	-	0.514894478059451	-0.663793296284593	14	1	0.0024330900243309	411	8168	322089	ctps1a
3.30.50.10	-	0.525975204010001	-0.642501208020981	75	4	0.0097323600973236	411	8168	553740,402815,554722,565875	nr3c1,nr1d2a,rorab,nr1i2
3.90.180.10	-	0.539346080902845	-0.617397834520936	15	1	0.0024330900243309	411	8168	368752	vat1
3.40.50.10140	-	0.562568055732532	-0.575243164253069	16	1	0.0024330900243309	411	8168	403127	tlr1
2.40.100.10	-	0.562568055732532	-0.575243164253069	16	1	0.0024330900243309	411	8168	554886	ppil4
2.60.120.260	-	0.5644890786655	-0.571834242496314	58	3	0.0072992700729927	411	8168	30227,562195,558580	ntn1a,epha7,mfge8b
3.40.50.10190	-	0.58462209510997	-0.536789631757548	17	1	0.0024330900243309	411	8168	100037336	rfc1
4.10.900.10	-	0.58462209510997	-0.536789631757548	17	1	0.0024330900243309	411	8168	30556	tcf7l1b
3.40.50.1240	-	0.605566803599464	-0.501590394082166	18	1	0.0024330900243309	411	8168	492357	pgam5
3.40.605.10	-	0.605566803599464	-0.501590394082166	18	1	0.0024330900243309	411	8168	557186	aldh18a1
3.40.309.10	-	0.605566803599464	-0.501590394082166	18	1	0.0024330900243309	411	8168	557186	aldh18a1
1.25.40.10	-	0.614388416260233	-0.487127951069519	147	7	0.0170316301703163	411	8168	368924,324254,406326,541536,564667,58154,553591	fkbp5,mtor,cstf3,ppp5c,tmtc2a,dnajc3b,ttc39c
1.20.1110.10	-	0.625457851918537	-0.469271334369431	19	1	0.0024330900243309	411	8168	558525	atp2b3b
3.40.50.1000	-	0.631862556919906	-0.459083381714007	42	2	0.0048661800486618	411	8168	561018,492343	cmasa,ctdnep1a
3.60.40.10	-	0.644348123470961	-0.439516134534183	20	1	0.0024330900243309	411	8168	503713	ppm1k
3.40.30.10	-	0.647645853630895	-0.434411254202087	109	5	0.0121654501216545	411	8168	791455,394184,557858,352919,378437	prdx2,sh3bgrl,dnajc10,selt1a,sepw2a
