"","geneset","source","zeb_p","zeb_p3","zeb_p5","mouse_p","mouse_p3","mouse_p5","human_p","human_p3","human_p5","wilk_p","wilk_p3","wilk_p5","wilk_adj","wilk_adj3","wilk_adj5"
"941","GO_CELLULAR_CHEMICAL_HOMEOSTASIS","c5",0.939345072958005,0.729486976782764,0.0866371532581811,0.00027342989904918,0.000714628914400317,0.00479050798198857,5.30428129599771e-11,3.98084839012625e-09,2.27435143070544e-07,2.24250843705575e-07,1.53135354179969e-06,6.86270257599349e-05,0.00233826354731803,0.0159674233803454,0.715573997598841
"942","GO_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT","c5",0.630365727425568,0.585287378363881,0.87066323456267,1.50978234016343e-05,0.000430548825453384,6.52794061588907e-05,4.14314276759331e-14,4.1963898076244e-12,1.34392133159075e-08,6.83825931476093e-10,5.55957249653457e-07,1.27836462419361e-08,7.13025298750122e-06,0.00579696624213659,0.000133295079364667
"943","GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY","c5",0.0100150787576047,0.0221801901938837,0.0473851187261462,6.91517955588343e-05,0.000390145283106935,6.34639438933728e-05,3.29156781039378e-15,1.4723615580985e-12,1.87299687121469e-09,1.43452511232942e-08,4.56521255157012e-07,1.20825052995817e-08,0.000149577933462588,0.00476014712752216,0.000125984282758738
"944","GO_REGULATION_OF_ORGANELLE_ASSEMBLY","c5",0.87703967242537,0.724468112574028,0.196215846138841,0.000958295840463932,0.00178845122214671,0.0202634571002753,9.92830732412945e-10,5.40643180174957e-10,0.00588022458946553,2.75323268815393e-06,9.58423239287413e-06,0.00121518241819326,0.028707957239381,0.0999347911604986,1
"945","GO_POSITIVE_REGULATION_OF_TRANSPORT","c5",0.551521546607223,0.73571808276281,0.0695312384478834,0.000787473682317529,0.000194915091550263,0.17538668322532,2.15176364952239e-08,2.65920913588422e-07,1.02195600851458e-05,1.85936775285761e-06,1.13960868355572e-07,0.0138314688662254,0.0193876275590463,0.00118826997434354,1
"946","GO_MYELOID_CELL_DIFFERENTIATION","c5",0.0376451267108292,0.327145859414112,0.00314034790706852,0.000719998723885539,0.00286593697828449,0.013955127271415,4.76586269683174e-05,8.44031763493826e-05,0.0314386123099813,1.55444799515963e-06,2.45937050005805e-05,0.000578801332854504,0.0162082292455295,0.256438562041053,1
"947","GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT","c5",1,1,1,2.27845327353862e-05,7.62380189695209e-05,0.000163399010713975,0.000266127933928191,0.00354952180093717,0.00117240846790159,2.12434535119979e-07,3.77078734501363e-05,4.12040179836283e-06,0.00221505489769602,0.393179996464571,0.0429634295515293
"948","GO_ACTIN_FILAMENT_ORGANIZATION","c5",0.784961925698033,0.641807799342643,0.398275584033649,0.262657834480194,0.670353858713232,0.000602456563155796,6.36440347127255e-16,1.27965827548851e-12,6.12368206750008e-09,0.170726338854742,0.707008344758684,1.08842440353749e-06,1,1,0.0113490012556854
"949","GO_PROTEIN_ACYLATION","c5",1,0.867833271791599,1,7.2122199787201e-05,0.000917738462005769,0.000485169574129388,1.86968602357371e-07,4.43398846445663e-06,0.000425285415202349,1.5604084803078e-08,2.52518573471949e-06,7.0594013932054e-07,0.000162703792241694,0.0263301116559201,0.00736083783269527
"950","GO_NEURON_PROJECTION_GUIDANCE","c5",0.0754656300435683,0.224697048637495,0.0856752110337637,2.79200001655724e-05,2.27791873638066e-05,0.0011180185016642,5.13946614988692e-08,6.57158383183426e-08,0.000651619600646879,2.33853569898174e-09,1.55665049101843e-09,3.74710114137006e-06,2.43839117332826e-05,1.62311946698491e-05,0.0390710236010657
"951","GO_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY","c5",0.0111690162593275,0.0163151688732754,0.161237732042689,2.37010759738334e-07,0.000178826943892842,5.06324671571664e-07,1.35110953172292e-10,4.54809384853215e-07,2.51550048525471e-07,1.68522274067495e-13,9.59257901453513e-08,7.69093759518943e-13,1.75718175170177e-09,0.00100021821384558,8.01934063050402e-09
"952","GO_REGULATION_OF_TRANSPORT","c5",0.00761714419085867,0.0219221946025411,0.00843711326588197,1.05879343868731e-09,2.07139252831131e-11,0.0192736397320472,1.06378371774049e-22,4.1459265575554e-21,3.23003766565203e-11,3.36313063504802e-18,1.28720010188539e-21,0.000212353450988798,3.50673631316457e-14,1.3421635462359e-17,1
"953","GO_MITOCHONDRION_LOCALIZATION","c5",0.256790531747584,0.518360838022841,1,0.000469284966929305,0.00268560055504479,0.0262668018815202,0.000507379617413894,0.000654472144722352,0.0152855954916195,7.72040994895058e-07,2.15986115024912e-05,0.00203358935224794,0.00805007145377077,0.225208722136476,1
"954","GO_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS","c5",1,0.856732395918989,0.741450705374395,7.92979667616909e-05,0.00156052573746908,0.000106831123711274,5.88035274183123e-11,1.88467735020729e-07,9.03187995862745e-07,1.88635053198147e-08,7.29812122071458e-06,3.42362284767284e-08,0.000196689769969708,0.076097509968391,0.000356981154326847
"955","GO_CARDIAC_SEPTUM_MORPHOGENESIS","c5",1,0.778392872220722,0.62834566693422,0.00176540241816116,0.000428517503492998,0.44600227562113,8.64111831112283e-06,0.000103916116853032,0.0103402496614877,9.33893282644403e-06,5.50724377417443e-07,0.419318301619106,0.0973770525813319,0.00574240308333168,1
"956","GO_EXOCYTOSIS","c5",0.349453805067915,0.289052553484922,0.524012015965441,0.000264862378785244,6.43278271032338e-05,0.0106030350467908,1.71926930275263e-12,2.82507981979654e-11,2.91661209664184e-05,2.10419077793924e-07,1.24136756334526e-08,0.000334888977917369,0.00219403972415724,0.00012943739583001,1
