TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.60.40.10	-	0.525144942902518	-0.644080972774977	736	33	0.0835443037974684	395	8819	545156,330483,223435,70080,207683,21960,72333,71740,94332,16161,75345,78911,636931,269116,330222,16182,22363,14184,58188,26563,12931,12986,22362,225638,333564,71687,12661,16177,396184,110006,378937,19268,20612	Kalrn,Ceacam16,Trio,Igsf23,Igsf11,Tnr,Palld,Nectin4,Cadm3,Il12rb1,Slamf7,Trim42,Trim71,Nfasc,Sdk1,Il18r1,Vpreb2,Fgfr3,Vstm2b,Ror1,Crlf1,Csf3r,Vpreb1,Alpk2,Fndc3c1,Tmem25,Chl1,Il1r1,Flrt1,Gusb,Lrrc24,Ptprf,Siglec1
3.40.50.1240	-	0.541468870601382	-0.613469701540955	17	1	0.00253164556962025	395	8819	12183	Bpgm
2.60.40.820	-	0.541468870601382	-0.613469701540955	17	1	0.00253164556962025	395	8819	57765	Tbx21
3.40.50.80	-	0.562045989004372	-0.576171601467783	18	1	0.00253164556962025	395	8819	266690	Cyb5r4
1.50.10.10	-	0.562045989004372	-0.576171601467783	18	1	0.00253164556962025	395	8819	230101	Gba2
3.10.200.10	-	0.562045989004372	-0.576171601467783	18	1	0.00253164556962025	395	8819	72605	Car10
4.10.75.10	-	0.581701918366623	-0.541797130208348	19	1	0.00253164556962025	395	8819	67866	Wfdc1
2.130.10.130	-	0.581701918366623	-0.541797130208348	19	1	0.00253164556962025	395	8819	319480	Itga11
1.25.10.10	-	0.60424929897235	-0.503768419560822	187	8	0.020253164556962	395	8819	320159,14897,321007,16649,107182,23805,68188,74521	Togaram2,Trip12,Serac1,Kpna4,Btaf1,Apc2,Sympk,Ppp4r4
3.30.1370.10	-	0.617164393762529	-0.482619850107797	46	2	0.00506329113924051	395	8819	22668,98582	Sf1,Khdc1b
3.30.230.10	-	0.618412935088606	-0.480598864902123	21	1	0.00253164556962025	395	8819	21974	Top2b
3.30.565.10	-	0.63554488446166	-0.453272562268172	22	1	0.00253164556962025	395	8819	21974	Top2b
2.120.10.80	-	0.641412622269598	-0.444082312668825	73	3	0.00759493670886076	395	8819	50868,71778,67455	Keap1,Klhl5,Klhl13
3.40.250.10	-	0.651909528177758	-0.427849487147169	23	1	0.00253164556962025	395	8819	67603	Dusp6
2.60.210.10	-	0.667541148946634	-0.404154244245793	24	1	0.00253164556962025	395	8819	20438	Siah1b
3.40.20.10	-	0.667541148946634	-0.404154244245793	24	1	0.00253164556962025	395	8819	63986	Gmfg
3.60.10.10	-	0.667541148946634	-0.404154244245793	24	1	0.00253164556962025	395	8819	12457	Noct
3.90.550.10	-	0.668383399130805	-0.402893319297634	76	3	0.00759493670886076	395	8819	14042,269941,232313	Ext1,Chsy1,Gxylt2
1.20.5.1160	-	0.685525268644303	-0.377569919033608	78	3	0.00759493670886076	395	8819	212632,16691,19024	Iffo2,Krt8,Ppfibp2
2.60.40.790	-	0.696734880669395	-0.361350312648283	26	1	0.00253164556962025	395	8819	266690	Cyb5r4
3.40.720.10	-	0.696734880669395	-0.361350312648283	26	1	0.00253164556962025	395	8819	433931	Pigg
4.10.1240.10	-	0.710358185799223	-0.341985949116422	27	1	0.00253164556962025	395	8819	22354	Vipr1
