Id	text	size	colour
ENSDARG00000044039	NA	1	NA
ENSDARG00000042231	NA	1	NA
ENSDARG00000029290	NA	1	NA
ENSDARG00000044265	NA	1	NA
ENSDARG00000074480	NA	1	NA
ENSDARG00000073707	NA	1	NA
ENSDARG00000007764	NA	1	NA
ENSDARG00000009346	NA	1	NA
ENSDARG00000054272	NA	1	NA
ENSDARG00000045846	NA	1	NA
ENSDARG00000070670	NA	1	NA
ENSDARG00000042522	NA	1	NA
ENSDARG00000013979	NA	1	NA
ENSDARG00000102367	NA	1	NA
ENSDARG00000038068	NA	1	NA
ENSDARG00000039062	NA	1	NA
ENSDARG00000102165	NA	1	NA
ENSDARG00000113719	NA	1	NA
ENSDARG00000013125	NA	1	NA
ENSDARG00000000189	NA	1	NA
ENSDARG00000002748	NA	1	NA
ENSDARG00000029051	NA	1	NA
ENSDARG00000099524	NA	1	NA
ENSDARG00000011533	NA	1	NA
ENSDARG00000096546	NA	1	NA
ENSDARG00000038446	NA	1	NA
ENSDARG00000061004	NA	1	NA
ENSDARG00000103834	NA	1	NA
ENSDARG00000012723	NA	1	NA
ENSDARG00000058903	NA	1	NA
ENSDARG00000055659	NA	1	NA
ENSDARG00000071192	NA	1	NA
ENSDARG00000041799	NA	1	NA
ENSDARG00000076480	NA	1	NA
ENSDARG00000075859	NA	1	NA
ENSDARG00000069929	NA	1	NA
ENSDARG00000035152	NA	1	NA
ENSDARG00000031632	NA	1	NA
ENSDARG00000055373	NA	1	NA
ENSDARG00000011163	NA	1	NA
ENSDARG00000026908	NA	1	NA
ENSDARG00000042210	NA	1	NA
ENSDARG00000017569	NA	1	NA
ENSDARG00000004160	NA	1	NA
ENSDARG00000017696	NA	1	NA
ENSDARG00000078026	NA	1	NA
ENSDARG00000059917	NA	1	NA
ENSDARG00000098652	NA	1	NA
ENSDARG00000052690	NA	1	NA
ENSDARG00000036028	NA	1	NA
ENSDARG00000056532	NA	1	NA
ENSDARG00000053425	NA	1	NA
ENSDARG00000097292	NA	1	NA
ENSDARG00000054127	NA	1	NA
ENSDARG00000055835	NA	1	NA
ENSDARG00000058738	NA	1	NA
ENSDARG00000088143	NA	1	NA
ENSDARG00000076595	NA	1	NA
ENSDARG00000079611	NA	1	NA
ENSDARG00000074414	NA	1	NA
ENSDARG00000076104	NA	1	NA
ENSDARG00000062483	NA	1	NA
ENSDARG00000075833	NA	1	NA
ENSDARG00000074060	NA	1	NA
ENSDARG00000056582	NA	1	NA
