Source	Target
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000149295
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000185340
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000135837
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000111817
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000117543
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000198055
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000135899
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000142677
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000155660
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000146122
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000124920
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000243646
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000133773
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000204103
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000162236
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000080031
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000160868
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000071243
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000012124
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000100151
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000143398
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000135862
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000157551
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000175215
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000101150
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000132196
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000122786
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000004455
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000129116
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000197756
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000078114
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000196199
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000077092
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000025039
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000154380
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000136935
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000118707
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000130821
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000163870
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000117151
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000242515
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000244731
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000206340
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000244207
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000227746
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000184209
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000177479
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000134201
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000138135
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000104881
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000188120
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000117228
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000104938
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000111432
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000113916
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000206053
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000163794
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000172016
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000203710
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000077684
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000168158
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000113140
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000166266
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000103429
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000275618
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000184489
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000275575
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000170949
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000111554
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000164626
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000012171
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000171055
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000097007
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000189067
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000106665
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000104529
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000273594
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000100811
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000196365
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000158186
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000198353
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000198873
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000164574
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000079335
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000185651
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000132323
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000046653
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000170836
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000153113
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000110768
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000266714
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000121057
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000143127
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000109089
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000174720
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000075413
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000234127
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000230230
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000228881
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000231641
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000137313
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000226060
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000231002
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000234046
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000173402
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000223802
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000123096
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000125826
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000164105
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000130035
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000137713
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000130005
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000117676
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000281877
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000128266
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000138032
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000106538
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000103148
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000099783
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000103326
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000282214
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000122257
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000010165
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000230701
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000110852
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000149485
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000106397
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000087087
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000122194
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000234328
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000248352
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000224140
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000248290
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000162607
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000160888
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000113448
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000223705
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000188153
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000073350
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000125817
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000175029
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000162775
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000084754
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000141279
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000076984
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000112096
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000285441
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000177575
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000076554
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000101189
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000112679
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000164307
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000125846
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000144677
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000119950
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000112769
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000099875
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000171606
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000131095
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000172179
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000167996
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000128591
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000008710
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000122779
BLALOCK_ALZHEIMERS_DISEASE_UP	ENSG00000125818
